title,price,store,image_url,product_url,rating,review_count
Смартфон Apple iPhone 17 Pro Max 256GB Silver (MFYM4AF/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 256GB Sage (MG6N4AF/A),18383900.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Deep Blue (MFYP4AF/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 Pro 256GB Cosmic Orange (MG8H4AF/A),25156800.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Cosmic Orange (MFYN4AF/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Silver (MFYM4ZD/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 512GB Deep Blue (MFYU4ZD/A),31797600.0,castore,,,,
Смартфон HONOR 600 8+256GB Оранжевый,9106800.0,castore,,,,
Смартфон HONOR 600 8+256GB Бежевый,9106800.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Deep Blue (MFYP4ZD/A),27328000.0,castore,https://castore.uz/upload/iblock/d95/zjzef9gwf6xz4x3ipbie2eg2l5ml46h5/smartfon-apple-iphone-17-pro-256gb-cosmic-orange-mg8h4af-a.jpg,https://castore.uz/product/smartfon-apple-iphone-17-pro-max-256gb-deep-blue-mfyp4zd-a/,,
Смартфон Apple iPhone 17 256GB Lavender (MG6M4ZD/A),18383900.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 512GB Silver (MFYQ4HX/A),31797600.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 512GB Deep Blue (MFYU4HX/A),31797600.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 512GB Silver (MFYQ4AF/A),31797600.0,castore,,,,
Смартфон Apple iPhone 17 256GB White (MG6K4AF/A),18383900.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Silver (MFYM4AF/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 256GB Sage (MG6N4AF/A),18383900.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Deep Blue (MFYP4AF/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 Pro 256GB Cosmic Orange (MG8H4AF/A),25156800.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Cosmic Orange (MFYN4AF/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Silver (MFYM4ZD/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 512GB Deep Blue (MFYU4ZD/A),31797600.0,castore,,,,
Смартфон HONOR 600 8+256GB Оранжевый,9106800.0,castore,,,,
Смартфон HONOR 600 8+256GB Бежевый,9106800.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Deep Blue (MFYP4ZD/A),27328000.0,castore,https://castore.uz/upload/iblock/d95/zjzef9gwf6xz4x3ipbie2eg2l5ml46h5/smartfon-apple-iphone-17-pro-256gb-cosmic-orange-mg8h4af-a.jpg,https://castore.uz/product/smartfon-apple-iphone-17-pro-max-256gb-deep-blue-mfyp4zd-a/,,
Смартфон Apple iPhone 17 256GB Lavender (MG6M4ZD/A),18383900.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 512GB Silver (MFYQ4HX/A),31797600.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 512GB Deep Blue (MFYU4HX/A),31797600.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 512GB Silver (MFYQ4AF/A),31797600.0,castore,,,,
Смартфон Apple iPhone 17 256GB White (MG6K4AF/A),18383900.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Silver (MFYM4AF/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 256GB Sage (MG6N4AF/A),18383900.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Deep Blue (MFYP4AF/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 Pro 256GB Cosmic Orange (MG8H4AF/A),25156800.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Cosmic Orange (MFYN4AF/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Silver (MFYM4ZD/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 512GB Deep Blue (MFYU4ZD/A),31797600.0,castore,,,,
Смартфон HONOR 600 8+256GB Оранжевый,9106800.0,castore,,,,
Смартфон HONOR 600 8+256GB Бежевый,9106800.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Deep Blue (MFYP4ZD/A),27328000.0,castore,https://castore.uz/upload/iblock/d95/zjzef9gwf6xz4x3ipbie2eg2l5ml46h5/smartfon-apple-iphone-17-pro-256gb-cosmic-orange-mg8h4af-a.jpg,https://castore.uz/product/smartfon-apple-iphone-17-pro-max-256gb-deep-blue-mfyp4zd-a/,,
Смартфон Apple iPhone 17 256GB Lavender (MG6M4ZD/A),18383900.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 512GB Silver (MFYQ4HX/A),31797600.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 512GB Deep Blue (MFYU4HX/A),31797600.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 512GB Silver (MFYQ4AF/A),31797600.0,castore,,,,
Смартфон Apple iPhone 17 256GB White (MG6K4AF/A),18383900.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Silver (MFYM4AF/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 256GB Sage (MG6N4AF/A),18383900.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Deep Blue (MFYP4AF/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 Pro 256GB Cosmic Orange (MG8H4AF/A),25156800.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Cosmic Orange (MFYN4AF/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Silver (MFYM4ZD/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 512GB Deep Blue (MFYU4ZD/A),31797600.0,castore,,,,
Смартфон HONOR 600 8+256GB Оранжевый,9106800.0,castore,,,,
Смартфон HONOR 600 8+256GB Бежевый,9106800.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Deep Blue (MFYP4ZD/A),27328000.0,castore,https://castore.uz/upload/iblock/d95/zjzef9gwf6xz4x3ipbie2eg2l5ml46h5/smartfon-apple-iphone-17-pro-256gb-cosmic-orange-mg8h4af-a.jpg,https://castore.uz/product/smartfon-apple-iphone-17-pro-max-256gb-deep-blue-mfyp4zd-a/,,
Смартфон Apple iPhone 17 256GB Lavender (MG6M4ZD/A),18383900.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 512GB Silver (MFYQ4HX/A),31797600.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 512GB Deep Blue (MFYU4HX/A),31797600.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 512GB Silver (MFYQ4AF/A),31797600.0,castore,,,,
Смартфон Apple iPhone 17 256GB White (MG6K4AF/A),18383900.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Silver (MFYM4AF/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 256GB Sage (MG6N4AF/A),18383900.0,castore,,,,
Смартфон Apple iPhone 17 Pro Max 256GB Deep Blue (MFYP4AF/A),27328000.0,castore,,,,
Смартфон Apple iPhone 17 Pro 256GB Cosmic Orange (MG8H4AF/A),25156800.0,castore,,,,
